#Aggregated gadget counts for unobfuscated and obfuscated "cp" binary
#gadget/category		  total		 memory		  arith		  logic		   ctrl		  other
#unobfuscated		   1048		    655		    159		     76		     57		    101
#obfuscated		   2910		    919		    633		    466		    228		    664

Category        Unobfuscated        Obfuscated
memory      655     919
arith       159     633
logic       76      466
ctrl        57      228
other       101     664
total       1048        2910

