#Aggregated gadget counts for unobfuscated and obfuscated "chroot" binary
#gadget/category		  total		 memory		  arith		  logic		   ctrl		  other
#unobfuscated		    410		    265		     52		     28		     29		     36
#obfuscated		    813		    313		    151		    104		     62		    183

Category        Unobfuscated        Obfuscated
memory      265     313 
arith       52      151
logic       28      104
ctrl        29      62
other       36      183
total       410     813

