# cp - unobfusc vs obfusc (all)

Category        unobfusc        sub-obfusc      bcf-obfusc      fla-obfusc      all-obfusc
memory      655     692     720     748     919
arith       159     216     518     433     633
logic       76      112     167     175     466
ctrl        57      75      98      151     228
other       101     161     171     336     664
total       1048        1256        1674        1843        2910

