#Aggregated gadget counts for unobfuscated and obfuscated "date" binary
#gadget/category		  total		 memory		  arith		  logic		   ctrl		  other
#unobfuscated		    591		    311		    124		     51		     35		     70
#obfuscated		   1650		    454		    356		    302		    103		    435

Category        Unobfuscated        Obfuscated
memory      311     454
arith       124     356
logic       51      302
ctrl        35      103
other       70      435
total       591     1650

