#Aggregated gadget counts for unobfuscated and obfuscated "shred" binary
#gadget/category		  total		 memory		  arith		  logic		   ctrl		  other
#unobfuscated		    575		    372		     83		     43		     25		     52
#obfuscated		   1240		    448		    251		    163		     76		    302

Category        Unobfuscated        Obfuscated
memory      372     448
arith       83      251
logic       43      163
ctrl        25      76
other       52      302
total       575     1240

