Aggregated gadget counts for unobfuscated and obfuscated "shred" binary
gadget/category		  total		 memory		  arith		  logic		   ctrl		  other
unobfuscated		    575		    372		     83		     43		     25		     52
obfuscated		   1240		    448		    251		    163		     76		    302
