Aggregated gadget counts for unobfuscated and obfuscated "date" binary
gadget/category		  total		 memory		  arith		  logic		   ctrl		  other
unobfuscated		    591		    311		    124		     51		     35		     70
obfuscated		   1650		    454		    356		    302		    103		    435
