Aggregated gadget counts for unobfuscated and obfuscated "link" binary
gadget/category		  total		 memory		  arith		  logic		   ctrl		  other
unobfuscated		    275		    171		     44		     19		     16		     25
obfuscated		    590		    264		     83		     53		     46		    144
