Aggregated gadget counts for unobfuscated and obfuscated "cp" binary
gadget/category		  total		 memory		  arith		  logic		   ctrl		  other
unobfuscated		   1048		    655		    159		     76		     57		    101
obfuscated		   2910		    919		    633		    466		    228		    664
